Module,ComponentType,Size,Unit,Group,Type,SearchParameter,SearchValue,ReturnAttribute,ReturnValue,StartDate,CreationDate
All,,,,Installation,Burden,,,OverheadEPCFraction,0.18,1/1/1900,1/1/1900
All,,,,,,,,FringeFraction,0.258,1/1/1900,1/1/1900
All,,,,Installation,,,,DefaultInstallRate,27,1/1/1900,1/1/1900
All,,,,Installation,,,,EPCConstructionSiteInstallationFirmBaseUnitManHour ,1,1/1/1900,1/1/1900
All,,,,Installation,,,,EPCConstructionSiteInstallationUnitManHour,1,1/1/1900,1/1/1900
All,,,,Manufacturing,Labor,,,GenerationRate,79.59366,1/1/1900,1/1/1900
All,,,,Manufacturing,Labor,,,SwitchgearRate,79.59366,1/1/1900,1/1/1900
All,,,,Manufacturing,Labor,,,QCTestRate,108.91764,1/1/1900,1/1/1900
All,,,,Manufacturing,Labor,,,ShippingLogisticsProcurementRate,96.35022,1/1/1900,1/1/1900
All,,,,Manufacturing,Labor,,,EngineeringRate,150.80904,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,ALABAMA,StateTaxRate,0.0914,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,ALASKA,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,ARIZONA,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,ARKANSAS,StateTaxRate,0.0943,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,CALIFORNIA,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,COLORADO,StateTaxRate,0.0763,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,CONNECTICUT,StateTaxRate,0.0635,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,DELAWARE,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,FLORIDA,StateTaxRate,0.0705,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,GEORGIA,StateTaxRate,0.0729,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,HAWAII,StateTaxRate,0.0441,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,IDAHO,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,ILLINOIS,StateTaxRate,0.0874,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,INDIANA,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,IOWA,StateTaxRate,0,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,KANSAS,StateTaxRate,0.0867,1/1/1900,1/1/1900
All,,,,Installation,Tax,USState,KENTUCKY,StateTaxRate,0.06,1/1/1900,1/1/1900
