Module,ComponentType,Size,Unit,Group,Type,SearchParameter,SearchValue,ReturnAttribute,ReturnValue,StartDate,CreationDate
PEC,Switchgear,,,,,Type,MV,SwitchgearHeight,11,1/1/1900,1/1/1900
PEC,Switchgear,,,,,Type,LV,SwitchgearHeight,9,1/1/1900,1/1/1900
PEC,Switchgear,,,,,Type,MV,SwitchgearWidth,11,1/1/1900,1/1/1900
PEC,Switchgear,,,,,Type,LV,SwitchgearWidth,9,1/1/1900,1/1/1900
PEC,Switchgear,,,,,Type,MV,SwitchgearFeetLengthPerSection,3,1/1/1900,1/1/1900
PEC,Switchgear,,,,,Type,LV,SwitchgearFeetLengthPerSection,4,1/1/1900,1/1/1900
PEC,Switchgear,,,,,Type,MV,SwitchgearAdditionalFeetLengthPerSection,16,1/1/1900,1/1/1900
PEC,Switchgear,,,,,Type,LV,SwitchgearAdditionalFeetLengthPerSection,10,1/1/1900,1/1/1900
PEC,Switchgear,,,,,Type,MV,SwitchgearTrimFeetLengthPerSwitchgearSpace,13,1/1/1900,1/1/1900
PEC,Switchgear,,,,,Type,LV,SwitchgearTrimFeetLengthPerSwitchgearSpace,10,1/1/1900,1/1/1900
PEC,Switchgear,,,,,Type,MV,SwitchgearExtensionFeetLengthPerSwitchgearSpace,0,1/1/1900,1/1/1900
PEC,Switchgear,,,,,Type,LV,SwitchgearExtensionFeetLengthPerSwitchgearSpace,3,1/1/1900,1/1/1900
PEC,Pad,,,,Materials,,,UnitCost,895,1/1/1900,1/1/1900
PEC,Pad,,,,Materials,,,AdditionalLength,5,1/1/1900,1/1/1900
PEC,Switchgear,,,,,Type,MV,NumberofSwitchgearRiggingSections,4,1/1/1900,1/1/1900
PEC,Switchgear,,,,,Type,LV,NumberofSwitchgearRiggingSections,2,1/1/1900,1/1/1900
PEC,HVAC,1,ton,,Materials,, ,UnitCost,2364,1/1/1900,1/1/1900
PEC,HVAC,1.5,ton,,Materials,, ,UnitCost,3120,1/1/1900,1/1/1900
PEC,HVAC,2,ton,,Materials,, ,UnitCost,3174,1/1/1900,1/1/1900
PEC,HVAC,2.5,ton,,Materials,, ,UnitCost,3416,1/1/1900,1/1/1900
PEC,HVAC,3,ton,,Materials,, ,UnitCost,3626,1/1/1900,1/1/1900
PEC,HVAC,3.5,ton,,Materials,, ,UnitCost,4106,1/1/1900,1/1/1900
PEC,HVAC,4,ton,,Materials,, ,UnitCost,4288,1/1/1900,1/1/1900
PEC,HVAC,,,Manufacturing,Labor,,,Hours,10,1/1/1900,1/1/1900
PEC,ExteriorLights,,,Manufacturing,Labor,,,Hours,1.75,1/1/1900,1/1/1900
PEC,InteriorLights,,,Manufacturing,Labor,,,Hours,1.75,1/1/1900,1/1/1900
PEC,ExteriorOutlets,,,Manufacturing,Labor,,,Hours,1,1/1/1900,1/1/1900
PEC,InteriorOutlets,,,Manufacturing,Labor,,,Hours,1,1/1/1900,1/1/1900
PEC,InteriorSwitches,,,Manufacturing,Labor,,,Hours,1,1/1/1900,1/1/1900
PEC,PhotoEye,,,Manufacturing,Labor,,,Hours,1,1/1/1900,1/1/1900
PEC,72InchDoubleDoor,,,Manufacturing,Labor,,,Hours,16,1/1/1900,1/1/1900
PEC,36InchSingleDoor,,,Manufacturing,Labor,,,Hours,8,1/1/1900,1/1/1900
PEC,25kVAHouseTransformer,,,Manufacturing,Labor,,,Hours,8,1/1/1900,1/1/1900
PEC,100A277to480VHousePanelHPH,,,Manufacturing,Labor,,,Hours,8,1/1/1900,1/1/1900
PEC,100A120to240VHousePanelHPL,,,Manufacturing,Labor,,,Hours,8,1/1/1900,1/1/1900
PEC,FACP,,,Manufacturing,Labor,,,Hours,8,1/1/1900,1/1/1900
PEC,SmokeDetector,,,Manufacturing,Labor,,,Hours,1,1/1/1900,1/1/1900
PEC,PullStation,,,Manufacturing,Labor,,,Hours,1,1/1/1900,1/1/1900
PEC,HornStrobe,,,Manufacturing,Labor,,,Hours,1,1/1/1900,1/1/1900
PEC,HotDipGalvanization,,,Manufacturing,Labor,,,Hours,64,1/1/1900,1/1/1900
PEC,Assembly,,,Installation,Labor,SwitchgearLength,0,Hours,0,1/1/1900,1/1/1900
PEC,Assembly,,,Installation,Labor,SwitchgearLength,10,Hours,12,1/1/1900,1/1/1900
PEC,Assembly,,,Installation,Labor,SwitchgearLength,20,Hours,24,1/1/1900,1/1/1900
PEC,Assembly,,,Installation,Labor,SwitchgearLength,30,Hours,36,1/1/1900,1/1/1900
PEC,Assembly,,,Installation,Labor,SwitchgearLength,40,Hours,48,1/1/1900,1/1/1900
PEC,Assembly,,,Installation,Labor,SwitchgearLength,50,Hours,60,1/1/1900,1/1/1900
PEC,Assembly,,,Installation,Labor,SwitchgearLength,60,Hours,72,1/1/1900,1/1/1900
PEC,Assembly,,,Manufacturing,Materials,,,CostPerCubicFoot,9.12,1/1/1900,1/1/1900
PEC,Packaging,,,Installation,Labor,SwitchgearLength,0,Hours,0,1/1/1900,1/1/1900
PEC,Packaging,,,Installation,Labor,SwitchgearLength,21,Hours,8,1/1/1900,1/1/1900
PEC,Packaging,,,Installation,Labor,SwitchgearLength,41,Hours,12,1/1/1900,1/1/1900
PEC,Packaging,,,Installation,Labor,SwitchgearLength,61,Hours,16,1/1/1900,1/1/1900
PEC,ExteriorLights,,,Manufacturing,Materials,,,UnitCost,100,1/1/1900,1/1/1900
PEC,InteriorLights,,,Manufacturing,Materials,,,UnitCost,275,1/1/1900,1/1/1900
PEC,ExteriorOutlets,,,Manufacturing,Materials,,,UnitCost,155,1/1/1900,1/1/1900
PEC,InteriorOutlets,,,Manufacturing,Materials,,,UnitCost,135,1/1/1900,1/1/1900
PEC,InteriorSwitches,,,Manufacturing,Materials,,,UnitCost,225,1/1/1900,1/1/1900
PEC,PhotoEye,,,Manufacturing,Materials,,,UnitCost,150,1/1/1900,1/1/1900
PEC,72InchDoubleDoor,,,Manufacturing,Materials,,,UnitCost,2982,1/1/1900,1/1/1900
PEC,36InchSingleDoor,,,Manufacturing,Materials,,,UnitCost,1697,1/1/1900,1/1/1900
PEC,25kVAHouseTransformer,,,Manufacturing,Materials,,,UnitCost,1435,1/1/1900,1/1/1900
PEC,100A277to480VHousePanelHPH,,,Manufacturing,Materials,,,UnitCost,550,1/1/1900,1/1/1900
PEC,100A120to240VHousePanelHPL,,,Manufacturing,Materials,,,UnitCost,550,1/1/1900,1/1/1900
PEC,FACP,,,Manufacturing,Materials,,,UnitCost,1200,1/1/1900,1/1/1900
PEC,SmokeDetector,,,Manufacturing,Materials,,,UnitCost,75,1/1/1900,1/1/1900
PEC,PullStation,,,Manufacturing,Materials,,,UnitCost,100,1/1/1900,1/1/1900
PEC,HornStrobe,,,Manufacturing,Materials,,,UnitCost,75,1/1/1900,1/1/1900
PEC,HotDipGalvanization,,,Manufacturing,Materials,,,UnitCost,20000,1/1/1900,1/1/1900
PEC,HVAC,,,,,SwitchgearLength,0,AdditionalHVACUnits,0,1/1/1900,1/1/1900
PEC,HVAC,,,,,SwitchgearLength,21,AdditionalHVACUnits,1,1/1/1900,1/1/1900
PEC,HVAC,,,,,SwitchgearLength,41,AdditionalHVACUnits,2,1/1/1900,1/1/1900
PEC,HVAC,,,,,SwitchgearLength,61,AdditionalHVACUnits,4,1/1/1900,1/1/1900
PEC,PEC,,,,,,,GroundingMaterialsCost,250,1/1/1900,1/1/1900
PEC,PEC,,,Installation,Labor,SwitchgearLength,0,Hours,0,1/1/1900,1/1/1900
PEC,PEC,,,Installation,Labor,SwitchgearLength,1,Hours,40,1/1/1900,1/1/1900
PEC,PEC,,,Installation,Labor,SwitchgearLength,21,Hours,48,1/1/1900,1/1/1900
PEC,PEC,,,Installation,Labor,SwitchgearLength,31,Hours,56,1/1/1900,1/1/1900
PEC,PEC,,,Installation,Labor,SwitchgearLength,41,Hours,64,1/1/1900,1/1/1900
PEC,ControlHouse,,,,Materials,,,UnitCost,14000,1/1/1900,1/1/1900
PEC,ControlHouse,,,Manufacturing,Labor,,,Hours,640,1/1/1900,1/1/1900
PEC,ControlHouse,,,Installation,Labor,,,InstallationHours,16,1/1/1900,1/1/1900
PEC,ControlHouse,,,Installation,Labor,,,GroundingHours,16,1/1/1900,1/1/1900
PEC,ControlHouse,,,Installation,Materials,,,UnitPadsCost,5000,1/1/1900,1/1/1900
PEC,ControlHouse,,,Installation,Materials,,,UnitRiggingCost,1500,1/1/1900,1/1/1900
