Module,ComponentType,Size,Unit,Group,Type,SearchParameter,SearchValue,ReturnAttribute,ReturnValue,StartDate,CreationDate
PurchasedATS,Pads,,,Installation,Labor,Ampacity,0,UnitHours,16,1/1/1900,1/1/1900
PurchasedATS,Pads,,,Installation,Labor,Ampacity,1000,UnitHours,16,1/1/1900,1/1/1900
PurchasedATS,Pads,,,Installation,Labor,Ampacity,2000,UnitHours,32,1/1/1900,1/1/1900
PurchasedATS,Pads,,,Installation,Labor,Ampacity,4000,UnitHours,48,1/1/1900,1/1/1900
OtherComponent,PurchasedATS,,,Installation,Labor,Option,Grounding,UnitLaborHours,4,1/1/1900,1/1/1900
PurchasedATS,Pads,,,Installation,Materials,,,UnitCost,1000,1/1/1900,1/1/1900
PurchasedATS,Rigging,,,Installation,Materials,,,UnitCost,750,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,100A3PoleOpenYes,UnitCost,,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,100A3PoleOpenNo,UnitCost,6144,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,100A3PoleClosedYes,UnitCost,,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,100A3PoleClosedNo,UnitCost,,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,100A4PoleOpenYes,UnitCost,,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,100A4PoleOpenNo,UnitCost,6462,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,100A4PoleClosedYes,UnitCost,,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,100A4PoleClosedNo,UnitCost,,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,150A3PoleOpenYes,UnitCost,12091,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,150A3PoleOpenNo,UnitCost,6450,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,150A3PoleClosedYes,UnitCost,16285,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,150A3PoleClosedNo,UnitCost,10270,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,150A4PoleOpenYes,UnitCost,12761,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,150A4PoleOpenNo,UnitCost,6788,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,150A4PoleClosedYes,UnitCost,17068,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,150A4PoleClosedNo,UnitCost,,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,200A3PoleOpenYes,UnitCost,12091,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,200A3PoleOpenNo,UnitCost,6751,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,200A3PoleClosedYes,UnitCost,16988,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,200A3PoleClosedNo,UnitCost,,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,200A4PoleOpenYes,UnitCost,13155,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,200A4PoleOpenNo,UnitCost,7185,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,200A4PoleClosedYes,UnitCost,17777,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,200A4PoleClosedNo,UnitCost,,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,230A3PoleOpenYes,UnitCost,12390,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,230A3PoleOpenNo,UnitCost,7105,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,230A3PoleClosedYes,UnitCost,17125,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,230A3PoleClosedNo,UnitCost,,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,230A4PoleOpenYes,UnitCost,13199,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,230A4PoleOpenNo,UnitCost,7467,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,230A4PoleClosedYes,UnitCost,17915,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,230A4PoleClosedNo,UnitCost,11641,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,260A3PoleOpenYes,UnitCost,12561,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,260A3PoleOpenNo,UnitCost,7580,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,260A3PoleClosedYes,UnitCost,17652,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,260A3PoleClosedNo,UnitCost,10999,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,260A4PoleOpenYes,UnitCost,13804,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,260A4PoleOpenNo,UnitCost,8097,1/1/1900,1/1/1900
PurchasedATS,PurchasedATS,,,Installation,Materials,Option,260A4PoleClosedYes,UnitCost,18424,1/1/1900,1/1/1900
